airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,06/03/2019,Banglore,New Delhi,14:05,08:15 07 Mar,18h 10m,1 stop,In-flight meal not included,13502
Vistara,24/05/2019,Kolkata,Banglore,17:00,20:20 25 May,27h 20m,1 stop,No info,9870
Vistara,6/05/2019,Kolkata,Banglore,20:20,22:40 07 May,26h 20m,1 stop,No info,8452
SpiceJet,6/05/2019,Chennai,Kolkata,09:45,12:00,2h 15m,non-stop,No check-in baggage included,3543
Multiple carriers,1/03/2019,Delhi,Cochin,14:35,22:20,7h 45m,1 stop,No info,14762
SpiceJet,27/03/2019,Chennai,Kolkata,17:45,20:05,2h 20m,non-stop,No info,3384
Multiple carriers,15/06/2019,Delhi,Cochin,10:00,01:30 16 Jun,15h 30m,1 stop,No info,8510
Air India,6/04/2019,Delhi,Cochin,06:10,23:00,16h 50m,1 stop,No info,5022
Jet Airways,21/03/2019,Banglore,New Delhi,07:00,21:20,14h 20m,1 stop,In-flight meal not included,7832
Jet Airways,9/04/2019,Delhi,Cochin,13:25,19:00 10 Apr,29h 35m,2 stops,No info,9483
Jet Airways,6/03/2019,Delhi,Cochin,22:20,04:25 07 Mar,6h 5m,1 stop,In-flight meal not included,12583
Jet Airways,3/06/2019,Delhi,Cochin,16:00,19:00 04 Jun,27h,1 stop,In-flight meal not included,10262
Air India,6/05/2019,Banglore,Delhi,06:10,08:55,2h 45m,non-stop,No info,6121
Jet Airways,18/03/2019,Mumbai,Hyderabad,15:50,17:20,1h 30m,non-stop,In-flight meal not included,2228
SpiceJet,9/03/2019,Chennai,Kolkata,17:45,20:05,2h 20m,non-stop,No info,6300
SpiceJet,12/03/2019,Kolkata,Banglore,09:00,11:30,2h 30m,non-stop,No info,6982
Jet Airways,3/06/2019,Delhi,Cochin,20:55,12:35 04 Jun,15h 40m,1 stop,No info,14714
Jet Airways,6/06/2019,Kolkata,Banglore,06:30,18:15,11h 45m,1 stop,In-flight meal not included,10844
Air India,21/05/2019,Banglore,Delhi,10:00,12:45,2h 45m,non-stop,No info,6961
Jet Airways,3/05/2019,Mumbai,Hyderabad,07:05,08:30,1h 25m,non-stop,In-flight meal not included,4995
Multiple carriers,12/06/2019,Delhi,Cochin,12:50,21:00,8h 10m,1 stop,No info,7005
Air Asia,24/05/2019,Kolkata,Banglore,15:10,23:30,8h 20m,2 stops,No info,5192
IndiGo,21/03/2019,Delhi,Cochin,04:45,13:20,8h 35m,1 stop,No info,7738
IndiGo,27/06/2019,Chennai,Kolkata,14:45,17:05,2h 20m,non-stop,No info,3597
Multiple carriers,21/03/2019,Delhi,Cochin,09:45,16:10,6h 25m,1 stop,No info,7242
IndiGo,15/05/2019,Delhi,Cochin,14:20,22:30,8h 10m,1 stop,No info,6412
Vistara,21/05/2019,Banglore,Delhi,17:00,19:35,2h 35m,non-stop,No info,4878
Multiple carriers,15/05/2019,Delhi,Cochin,06:00,19:00,13h,1 stop,No info,9794
Jet Airways,24/06/2019,Delhi,Cochin,05:30,12:35,7h 5m,2 stops,In-flight meal not included,13344
Jet Airways,12/05/2019,Kolkata,Banglore,20:25,19:10 13 May,22h 45m,1 stop,No info,13067
Air India,12/05/2019,Kolkata,Banglore,16:45,12:30 13 May,19h 45m,2 stops,No info,14330
Jet Airways,9/05/2019,Kolkata,Banglore,09:35,09:45 10 May,24h 10m,1 stop,No info,12121
IndiGo,12/04/2019,Banglore,Delhi,18:55,21:50,2h 55m,non-stop,No info,5780
Jet Airways,21/03/2019,Delhi,Cochin,05:25,18:50 22 Mar,37h 25m,2 stops,No info,12814
Jet Airways,9/06/2019,Delhi,Cochin,21:50,04:25 10 Jun,6h 35m,1 stop,In-flight meal not included,10262
Air Asia,21/05/2019,Delhi,Cochin,16:45,07:10 22 May,14h 25m,1 stop,No info,8327
IndiGo,21/03/2019,Banglore,New Delhi,16:55,19:45,2h 50m,non-stop,No info,6860
GoAir,21/04/2019,Delhi,Cochin,07:00,12:55,5h 55m,1 stop,No info,6591
IndiGo,21/03/2019,Chennai,Kolkata,07:55,10:15,2h 20m,non-stop,No info,3384
IndiGo,1/04/2019,Banglore,Delhi,01:30,04:15,2h 45m,non-stop,No info,4423
IndiGo,15/03/2019,Kolkata,Banglore,15:20,17:55,2h 35m,non-stop,No info,4148
Jet Airways,21/04/2019,Banglore,Delhi,08:20,11:20,3h,non-stop,No info,7229
Vistara,21/05/2019,Kolkata,Banglore,07:10,10:45 22 May,27h 35m,1 stop,No info,9187
Jet Airways,1/04/2019,Kolkata,Banglore,06:30,12:00,5h 30m,1 stop,In-flight meal not included,10056
Jet Airways,24/05/2019,Kolkata,Banglore,18:55,12:00 25 May,17h 5m,1 stop,No info,14571
Multiple carriers,1/06/2019,Delhi,Cochin,08:00,19:00,11h,1 stop,No info,12192
Jet Airways,6/06/2019,Delhi,Cochin,16:00,04:25 07 Jun,12h 25m,1 stop,In-flight meal not included,10262
Jet Airways,6/05/2019,Kolkata,Banglore,17:00,21:05 07 May,28h 5m,1 stop,No info,13067
Vistara,6/04/2019,Banglore,Delhi,17:00,19:35,2h 35m,non-stop,No info,5613
Air India,21/05/2019,Delhi,Cochin,05:10,08:00,2h 50m,non-stop,No info,6094
SpiceJet,1/04/2019,Kolkata,Banglore,09:00,11:25,2h 25m,non-stop,No info,3873
Air India,9/06/2019,Delhi,Cochin,20:00,19:15 10 Jun,23h 15m,1 stop,No info,8372
Jet Airways,18/05/2019,Delhi,Cochin,05:30,19:00,13h 30m,2 stops,In-flight meal not included,13029
Jet Airways,6/06/2019,Mumbai,Hyderabad,10:20,11:50,1h 30m,non-stop,In-flight meal not included,4995
Air Asia,3/06/2019,Delhi,Cochin,07:55,22:25,14h 30m,1 stop,No info,8759
IndiGo,6/03/2019,Delhi,Cochin,16:00,21:00,5h,1 stop,No info,7725
Air India,3/04/2019,Kolkata,Banglore,20:45,23:20,2h 35m,non-stop,No info,4460
Air India,12/06/2019,Delhi,Cochin,06:50,07:40 13 Jun,24h 50m,2 stops,No info,13381
Air India,18/06/2019,Delhi,Cochin,18:05,21:10,3h 5m,non-stop,No info,5201
Air Asia,18/05/2019,Delhi,Cochin,16:45,07:10 19 May,14h 25m,1 stop,No info,7353
Air India,3/06/2019,Delhi,Cochin,10:55,19:15,8h 20m,2 stops,No info,12173
Jet Airways,9/06/2019,Banglore,Delhi,07:10,10:10,3h,non-stop,In-flight meal not included,7229
Jet Airways,9/06/2019,Delhi,Cochin,19:30,04:25 10 Jun,8h 55m,2 stops,No info,13014
Jet Airways,12/06/2019,Delhi,Cochin,20:00,12:35 13 Jun,16h 35m,2 stops,No info,14300
IndiGo,1/04/2019,Kolkata,Banglore,17:15,19:50,2h 35m,non-stop,No info,4174
Jet Airways,06/03/2019,Banglore,New Delhi,08:55,07:40 07 Mar,22h 45m,1 stop,No info,14815
SpiceJet,24/03/2019,Kolkata,Banglore,06:55,09:35,2h 40m,non-stop,No check-in baggage included,4781
Jet Airways,18/05/2019,Kolkata,Banglore,16:30,04:40 19 May,12h 10m,1 stop,No info,13941
Vistara,1/06/2019,Chennai,Kolkata,07:05,09:20,2h 15m,non-stop,No info,3687
SpiceJet,1/06/2019,Mumbai,Hyderabad,22:45,00:15 02 Jun,1h 30m,non-stop,No check-in baggage included,1965
IndiGo,3/04/2019,Delhi,Cochin,02:00,07:25,5h 25m,1 stop,No info,4744
Jet Airways,27/05/2019,Delhi,Cochin,05:30,19:00,13h 30m,2 stops,No info,15129
IndiGo,3/04/2019,Banglore,Delhi,16:55,19:55,3h,non-stop,No info,4823
Jet Airways,27/03/2019,Delhi,Cochin,09:00,18:50,9h 50m,1 stop,No info,12032
IndiGo,27/05/2019,Delhi,Cochin,07:35,22:30,14h 55m,1 stop,No info,7514
Jet Airways,21/03/2019,Banglore,New Delhi,07:00,13:15,6h 15m,1 stop,In-flight meal not included,7832
Jet Airways,1/05/2019,Banglore,Delhi,18:55,22:00,3h 5m,non-stop,In-flight meal not included,4030
IndiGo,18/05/2019,Kolkata,Banglore,17:35,22:15,4h 40m,1 stop,No info,5699
Jet Airways,9/05/2019,Delhi,Cochin,05:30,19:00,13h 30m,2 stops,In-flight meal not included,13029
IndiGo,15/04/2019,Banglore,Delhi,20:00,22:50,2h 50m,non-stop,No info,4823
IndiGo,24/05/2019,Delhi,Cochin,18:35,01:30 25 May,6h 55m,1 stop,No info,7503
Jet Airways,6/05/2019,Kolkata,Banglore,06:30,08:15 07 May,25h 45m,1 stop,In-flight meal not included,8586
Air Asia,9/06/2019,Delhi,Cochin,07:55,13:25,5h 30m,1 stop,No info,8759
Air India,6/03/2019,Mumbai,Hyderabad,21:05,22:25,1h 20m,non-stop,No info,5462
SpiceJet,3/06/2019,Banglore,Delhi,09:30,12:20,2h 50m,non-stop,No check-in baggage included,3919
Jet Airways,6/03/2019,Delhi,Cochin,16:00,19:45 07 Mar,27h 45m,1 stop,No info,17024
Jet Airways,12/06/2019,Delhi,Cochin,19:45,19:00 13 Jun,23h 15m,1 stop,In-flight meal not included,10262
Jet Airways,3/06/2019,Delhi,Cochin,22:50,19:00 04 Jun,20h 10m,1 stop,In-flight meal not included,10262
Multiple carriers,27/03/2019,Delhi,Cochin,18:00,01:35 28 Mar,7h 35m,1 stop,No info,6673
Air India,21/05/2019,Delhi,Cochin,19:45,19:15 22 May,23h 30m,2 stops,No info,9443
Jet Airways,9/03/2019,Delhi,Cochin,15:05,04:25 10 Mar,13h 20m,1 stop,In-flight meal not included,14053
IndiGo,12/06/2019,Delhi,Cochin,06:50,12:10,5h 20m,1 stop,No info,5298
Jet Airways,15/05/2019,Kolkata,Banglore,21:10,16:20 16 May,19h 10m,1 stop,In-flight meal not included,10844
Air India,6/05/2019,Kolkata,Banglore,09:25,15:05 07 May,29h 40m,2 stops,No info,11542
Multiple carriers,27/05/2019,Delhi,Cochin,10:00,19:15,9h 15m,1 stop,In-flight meal not included,11446
Jet Airways,6/04/2019,Delhi,Cochin,11:00,14:15,3h 15m,non-stop,In-flight meal not included,4886
Jet Airways,24/05/2019,Kolkata,Banglore,18:55,10:05 25 May,15h 10m,1 stop,No info,13731
Jet Airways,6/06/2019,Kolkata,Banglore,08:25,18:15,9h 50m,1 stop,No info,14571
Jet Airways,06/03/2019,Banglore,New Delhi,08:55,23:00,14h 5m,1 stop,No info,16736
Jet Airways,12/06/2019,Delhi,Cochin,19:45,04:25 13 Jun,8h 40m,1 stop,In-flight meal not included,10262
Air India,21/06/2019,Banglore,Delhi,10:00,12:45,2h 45m,non-stop,No info,6961
SpiceJet,24/04/2019,Banglore,Delhi,09:30,12:20,2h 50m,non-stop,No check-in baggage included,3919
SpiceJet,15/04/2019,Kolkata,Banglore,17:10,19:40,2h 30m,non-stop,No info,4174
Multiple carriers,15/05/2019,Delhi,Cochin,07:30,19:00,11h 30m,1 stop,No info,10529
Air Asia,27/04/2019,Kolkata,Banglore,22:50,01:20 28 Apr,2h 30m,non-stop,No info,4409
Multiple carriers,12/06/2019,Delhi,Cochin,07:05,19:15,12h 10m,1 stop,In-flight meal not included,11667
Vistara,9/06/2019,Kolkata,Banglore,07:10,23:25,16h 15m,1 stop,No info,9345
Jet Airways,12/06/2019,Banglore,Delhi,08:20,11:20,3h,non-stop,In-flight meal not included,5769
Jet Airways,9/06/2019,Mumbai,Hyderabad,19:35,21:05,1h 30m,non-stop,No info,5678
Jet Airways,9/05/2019,Delhi,Cochin,05:30,04:25 10 May,22h 55m,2 stops,No info,15129
Jet Airways,1/06/2019,Delhi,Cochin,18:25,12:35 02 Jun,18h 10m,2 stops,No info,14237
Jet Airways,01/03/2019,Banglore,New Delhi,07:00,20:20,13h 20m,1 stop,No info,27992
Multiple carriers,3/06/2019,Delhi,Cochin,17:45,01:30 04 Jun,7h 45m,1 stop,No info,7530
Jet Airways,1/04/2019,Kolkata,Banglore,08:25,19:50,11h 25m,1 stop,In-flight meal not included,7064
Air India,18/05/2019,Banglore,Delhi,13:20,16:10,2h 50m,non-stop,No info,6121
Jet Airways,01/03/2019,Banglore,New Delhi,14:05,20:20,6h 15m,1 stop,No info,27992
Jet Airways,1/06/2019,Delhi,Cochin,10:00,04:25 02 Jun,18h 25m,1 stop,In-flight meal not included,10262
Air India,6/04/2019,Banglore,Delhi,17:00,19:45,2h 45m,non-stop,No info,4651
Multiple carriers,3/06/2019,Delhi,Cochin,06:00,19:00,13h,1 stop,No info,13259
Vistara,03/03/2019,Banglore,New Delhi,19:40,22:20,2h 40m,non-stop,No info,11913
IndiGo,6/06/2019,Mumbai,Hyderabad,12:00,13:30,1h 30m,non-stop,No info,2754
IndiGo,6/06/2019,Chennai,Kolkata,11:35,14:00,2h 25m,non-stop,No info,3858
Jet Airways,24/03/2019,Kolkata,Banglore,21:10,10:05 25 Mar,12h 55m,1 stop,No info,14914
Jet Airways,3/03/2019,Delhi,Cochin,02:15,04:25 04 Mar,26h 10m,1 stop,No info,17024
Air India,9/06/2019,Kolkata,Banglore,12:00,07:55 10 Jun,19h 55m,2 stops,No info,10151
IndiGo,1/06/2019,Kolkata,Banglore,04:40,07:15,2h 35m,non-stop,No info,4804
Air Asia,3/05/2019,Banglore,Delhi,04:55,07:45,2h 50m,non-stop,No info,6181
Jet Airways,21/03/2019,Delhi,Cochin,06:20,04:25 22 Mar,22h 5m,2 stops,No info,11538
IndiGo,9/05/2019,Mumbai,Hyderabad,20:05,21:40,1h 35m,non-stop,No info,2437
Multiple carriers,21/05/2019,Delhi,Cochin,17:00,01:30 22 May,8h 30m,1 stop,No info,7888
Air India,3/03/2019,Delhi,Cochin,08:00,19:15,11h 15m,1 stop,No info,15197
Multiple carriers,21/03/2019,Delhi,Cochin,08:00,19:15,11h 15m,1 stop,No info,13378
IndiGo,1/06/2019,Delhi,Cochin,07:35,12:10,4h 35m,1 stop,No info,5054
Multiple carriers,9/06/2019,Delhi,Cochin,10:00,01:30 10 Jun,15h 30m,1 stop,No info,7198
Multiple carriers,9/04/2019,Delhi,Cochin,12:50,19:15,6h 25m,1 stop,No info,6481
IndiGo,3/03/2019,Delhi,Cochin,14:30,17:35,3h 5m,non-stop,No info,7673
Air India,27/03/2019,Mumbai,Hyderabad,19:30,20:45,1h 15m,non-stop,No info,2575
Vistara,1/06/2019,Banglore,Delhi,09:45,12:35,2h 50m,non-stop,No info,4878
Jet Airways,9/06/2019,Delhi,Cochin,10:00,04:25 10 Jun,18h 25m,1 stop,In-flight meal not included,10262
SpiceJet,9/05/2019,Banglore,Delhi,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3573
SpiceJet,21/03/2019,Mumbai,Hyderabad,05:45,07:05,1h 20m,non-stop,No info,3173
Air India,21/04/2019,Banglore,Delhi,06:10,08:55,2h 45m,non-stop,No info,6121
Air India,24/03/2019,Banglore,New Delhi,21:10,23:55,2h 45m,non-stop,No info,4441
Air India,9/05/2019,Delhi,Cochin,22:00,19:15 10 May,21h 15m,2 stops,No info,10441
SpiceJet,15/06/2019,Kolkata,Banglore,09:00,11:25,2h 25m,non-stop,No info,3873
IndiGo,3/03/2019,Kolkata,Banglore,17:15,20:00,2h 45m,non-stop,No info,6985
IndiGo,15/05/2019,Delhi,Cochin,16:10,22:30,6h 20m,1 stop,No info,6412
Air India,3/06/2019,Delhi,Cochin,20:15,19:15 04 Jun,23h,2 stops,No info,13381
Jet Airways,01/03/2019,Banglore,New Delhi,16:55,08:15 02 Mar,15h 20m,1 stop,No info,26890
Jet Airways,6/05/2019,Delhi,Cochin,22:50,04:25 07 May,5h 35m,1 stop,No info,15554
IndiGo,27/03/2019,Kolkata,Banglore,15:20,17:55,2h 35m,non-stop,No info,5198
IndiGo,27/03/2019,Delhi,Cochin,15:00,01:35 28 Mar,10h 35m,1 stop,No info,8075
Multiple carriers,21/05/2019,Delhi,Cochin,19:00,01:30 22 May,6h 30m,1 stop,No info,7485
SpiceJet,6/05/2019,Kolkata,Banglore,09:00,11:25,2h 25m,non-stop,No check-in baggage included,3841
Air India,6/06/2019,Mumbai,Hyderabad,06:20,07:40,1h 20m,non-stop,No info,3100
Jet Airways,27/05/2019,Delhi,Cochin,19:10,12:35 28 May,17h 25m,2 stops,No info,15129
Multiple carriers,3/03/2019,Delhi,Cochin,13:05,21:20,8h 15m,2 stops,No info,11966
GoAir,6/04/2019,Delhi,Cochin,07:00,12:55,5h 55m,1 stop,No info,5135
Jet Airways,9/05/2019,Banglore,Delhi,18:55,22:00,3h 5m,non-stop,In-flight meal not included,3702
SpiceJet,3/05/2019,Kolkata,Banglore,06:55,09:30,2h 35m,non-stop,No info,3873
SpiceJet,6/06/2019,Kolkata,Banglore,15:05,20:20,5h 15m,1 stop,No info,4649
IndiGo,27/04/2019,Delhi,Cochin,05:05,12:10,7h 5m,1 stop,No info,7160
IndiGo,6/04/2019,Banglore,Delhi,20:00,22:50,2h 50m,non-stop,No info,4823
IndiGo,21/06/2019,Mumbai,Hyderabad,19:05,20:35,1h 30m,non-stop,No info,4049
Multiple carriers,1/06/2019,Delhi,Cochin,10:00,21:00,11h,1 stop,No info,13587
Air India,24/06/2019,Delhi,Cochin,03:50,19:15,15h 25m,1 stop,No info,8669
IndiGo,21/05/2019,Delhi,Cochin,05:05,12:10,7h 5m,1 stop,No info,6818
Air India,6/03/2019,Mumbai,Hyderabad,19:30,20:45,1h 15m,non-stop,No info,5462
Jet Airways,1/05/2019,Kolkata,Banglore,10:20,17:35,7h 15m,1 stop,In-flight meal not included,5608
